Key: 194200B, Action: Add, Quantity: 1000, Orders: 1
Key: 188100B, Action: Update, Quantity: 1700, Orders: 2
Key: 188000B, Action: Add, Quantity: 25, Orders: 1
Key: 188000B, Action: Update, Quantity: 1025, Orders: 2
Key: 188000B, Action: Update, Quantity: 1525, Orders: 3
Key: 188000B, Action: Update, Quantity: 2725, Orders: 4
Key: 187700B, Action: Add, Quantity: 300, Orders: 1
Key: 187500B, Action: Add, Quantity: 1000, Orders: 1
Key: 187500B, Action: Update, Quantity: 2100, Orders: 2
Key: 187500B, Action: Update, Quantity: 2600, Orders: 3
Key: 187500B, Action: Update, Quantity: 3600, Orders: 4
Key: 187100B, Action: Add, Quantity: 1500, Orders: 1
Key: 187100B, Action: Update, Quantity: 1750, Orders: 2
Key: 187100B, Action: Update, Quantity: 2250, Orders: 3
Key: 187000B, Action: Add, Quantity: 2000, Orders: 1
Key: 186900B, Action: Add, Quantity: 200, Orders: 1
Key: 186800B, Action: Add, Quantity: 668, Orders: 1
Key: 186500B, Action: Add, Quantity: 200, Orders: 1
Key: 186000B, Action: Add, Quantity: 1200, Orders: 1
Key: 186000B, Action: Update, Quantity: 1307, Orders: 2
Key: 186000B, Action: Update, Quantity: 3307, Orders: 3
Key: 185500B, Action: Add, Quantity: 500, Orders: 1
Key: 185100B, Action: Add, Quantity: 500, Orders: 1
Key: 185000B, Action: Add, Quantity: 1000, Orders: 1
Key: 185000B, Action: Update, Quantity: 1075, Orders: 2
Key: 185000B, Action: Update, Quantity: 2075, Orders: 3
Key: 185000B, Action: Update, Quantity: 7075, Orders: 4
Key: 185000B, Action: Update, Quantity: 12075, Orders: 5
Key: 185000B, Action: Update, Quantity: 12575, Orders: 6
Key: 184500B, Action: Add, Quantity: 500, Orders: 1
Key: 183500B, Action: Add, Quantity: 100, Orders: 1
Key: 183000B, Action: Add, Quantity: 10000, Orders: 1
Key: 182000B, Action: Add, Quantity: 120, Orders: 1
Key: 181800B, Action: Add, Quantity: 500, Orders: 1
Key: 181100B, Action: Add, Quantity: 160, Orders: 1
Key: 181000B, Action: Add, Quantity: 270, Orders: 1
Key: 181000B, Action: Update, Quantity: 770, Orders: 2
Key: 181000B, Action: Update, Quantity: 970, Orders: 3
Key: 180800B, Action: Add, Quantity: 120, Orders: 1
Key: 180400B, Action: Add, Quantity: 25, Orders: 1
Key: 180100B, Action: Add, Quantity: 54, Orders: 1
Key: 180000B, Action: Add, Quantity: 100, Orders: 1
Key: 180000B, Action: Update, Quantity: 650, Orders: 2
Key: 180000B, Action: Update, Quantity: 1205, Orders: 3
Key: 180000B, Action: Update, Quantity: 2205, Orders: 4
Key: 180000B, Action: Update, Quantity: 3205, Orders: 5
Key: 180000B, Action: Update, Quantity: 3605, Orders: 6
Key: 180000B, Action: Update, Quantity: 3705, Orders: 7
Key: 179700B, Action: Add, Quantity: 201, Orders: 1
Key: 178000B, Action: Add, Quantity: 150, Orders: 1
Key: 177500B, Action: Add, Quantity: 2000, Orders: 1
Key: 176000B, Action: Add, Quantity: 300, Orders: 1
Key: 175000B, Action: Add, Quantity: 100, Orders: 1
Key: 173500B, Action: Add, Quantity: 50, Orders: 1
Key: 170000B, Action: Add, Quantity: 580, Orders: 1
Key: 134000B, Action: Add, Quantity: 100, Orders: 1
Key: 196500S, Action: Add, Quantity: 1300, Orders: 1
Key: 197100S, Action: Add, Quantity: 800, Orders: 1
Key: 197500S, Action: Add, Quantity: 200, Orders: 1
Key: 197500S, Action: Update, Quantity: 1200, Orders: 2
Key: 197900S, Action: Add, Quantity: 23, Orders: 1
Key: 198000S, Action: Add, Quantity: 395, Orders: 1
Key: 198000S, Action: Update, Quantity: 895, Orders: 2
Key: 198000S, Action: Update, Quantity: 1095, Orders: 3
Key: 198000S, Action: Update, Quantity: 2095, Orders: 4
Key: 198000S, Action: Update, Quantity: 2295, Orders: 5
Key: 198300S, Action: Add, Quantity: 750, Orders: 1
Key: 198500S, Action: Add, Quantity: 2000, Orders: 1
Key: 198900S, Action: Add, Quantity: 87, Orders: 1
Key: 199000S, Action: Add, Quantity: 10000, Orders: 1
Key: 199000S, Action: Update, Quantity: 10400, Orders: 2
Key: 199400S, Action: Add, Quantity: 1000, Orders: 1
Key: 199500S, Action: Add, Quantity: 1000, Orders: 1
Key: 199700S, Action: Add, Quantity: 1800, Orders: 1
Key: 199900S, Action: Add, Quantity: 1000, Orders: 1
Key: 200000S, Action: Add, Quantity: 1000, Orders: 1
Key: 200000S, Action: Update, Quantity: 1233, Orders: 2
Key: 200000S, Action: Update, Quantity: 2233, Orders: 3
Key: 200000S, Action: Update, Quantity: 2383, Orders: 4
Key: 200000S, Action: Update, Quantity: 3383, Orders: 5
Key: 200000S, Action: Update, Quantity: 4883, Orders: 6
Key: 200000S, Action: Update, Quantity: 5116, Orders: 7
Key: 200000S, Action: Update, Quantity: 7116, Orders: 8
Key: 200500S, Action: Add, Quantity: 2000, Orders: 1
Key: 200500S, Action: Update, Quantity: 4000, Orders: 2
Key: 200600S, Action: Add, Quantity: 1050, Orders: 1
Key: 200700S, Action: Add, Quantity: 250, Orders: 1
Key: 200900S, Action: Add, Quantity: 389, Orders: 1
Key: 201000S, Action: Add, Quantity: 2000, Orders: 1
Key: 201000S, Action: Update, Quantity: 3000, Orders: 2
Key: 201000S, Action: Update, Quantity: 4000, Orders: 3
Key: 201000S, Action: Update, Quantity: 4937, Orders: 4
Key: 201200S, Action: Add, Quantity: 1000, Orders: 1
Key: 201300S, Action: Add, Quantity: 800, Orders: 1
Key: 201400S, Action: Add, Quantity: 1000, Orders: 1
Key: 201600S, Action: Add, Quantity: 1000, Orders: 1
Key: 201900S, Action: Add, Quantity: 3000, Orders: 1
Key: 202000S, Action: Add, Quantity: 280, Orders: 1
Key: 202000S, Action: Update, Quantity: 1280, Orders: 2
Key: 202000S, Action: Update, Quantity: 1480, Orders: 3
Key: 202000S, Action: Update, Quantity: 1679, Orders: 4
Key: 202000S, Action: Update, Quantity: 3329, Orders: 5
Key: 202000S, Action: Update, Quantity: 3499, Orders: 6
Key: 202100S, Action: Add, Quantity: 1800, Orders: 1
Key: 202100S, Action: Update, Quantity: 2695, Orders: 2
Key: 202500S, Action: Add, Quantity: 2290, Orders: 1
Key: 202800S, Action: Add, Quantity: 1000, Orders: 1
Key: 203000S, Action: Add, Quantity: 1000, Orders: 1
Key: 203700S, Action: Add, Quantity: 200, Orders: 1
Key: 203800S, Action: Add, Quantity: 400, Orders: 1
Key: 203900S, Action: Add, Quantity: 300, Orders: 1
Key: 203900S, Action: Update, Quantity: 450, Orders: 2
Key: 204100S, Action: Add, Quantity: 490, Orders: 1
Key: 204500S, Action: Add, Quantity: 133, Orders: 1
Key: 204500S, Action: Update, Quantity: 2133, Orders: 2
Key: 204800S, Action: Add, Quantity: 2069, Orders: 1
Key: 204900S, Action: Add, Quantity: 1500, Orders: 1
Key: 205000S, Action: Add, Quantity: 1000, Orders: 1
Key: 205000S, Action: Update, Quantity: 1300, Orders: 2
Key: 205000S, Action: Update, Quantity: 2300, Orders: 3
Key: 205000S, Action: Update, Quantity: 4100, Orders: 4
Key: 205000S, Action: Update, Quantity: 4346, Orders: 5
Key: 205300S, Action: Add, Quantity: 500, Orders: 1
Key: 205500S, Action: Add, Quantity: 2000, Orders: 1
Key: 205500S, Action: Update, Quantity: 2520, Orders: 2
Key: 205500S, Action: Update, Quantity: 2780, Orders: 3
Key: 206000S, Action: Add, Quantity: 295, Orders: 1
Key: 206000S, Action: Update, Quantity: 335, Orders: 2
Key: 206500S, Action: Add, Quantity: 500, Orders: 1
Key: 206900S, Action: Add, Quantity: 550, Orders: 1
Key: 207000S, Action: Add, Quantity: 977, Orders: 1
Key: 207500S, Action: Add, Quantity: 256, Orders: 1
Key: 207500S, Action: Update, Quantity: 1691, Orders: 2
Key: 207900S, Action: Add, Quantity: 2000, Orders: 1
Key: 208000S, Action: Add, Quantity: 39, Orders: 1
Key: 208000S, Action: Update, Quantity: 140, Orders: 2
Key: 208400S, Action: Add, Quantity: 6643, Orders: 1
Key: 209000S, Action: Add, Quantity: 741, Orders: 1
Key: 209500S, Action: Add, Quantity: 140, Orders: 1
Key: 209800S, Action: Add, Quantity: 400, Orders: 1
Key: 210000S, Action: Add, Quantity: 1000, Orders: 1
Key: 210000S, Action: Update, Quantity: 3500, Orders: 2
Key: 210000S, Action: Update, Quantity: 4218, Orders: 3
Key: 210800S, Action: Add, Quantity: 240, Orders: 1
Key: 211000S, Action: Add, Quantity: 600, Orders: 1
Key: 211000S, Action: Update, Quantity: 900, Orders: 2
Key: 211400S, Action: Add, Quantity: 800, Orders: 1
Key: 211500S, Action: Add, Quantity: 500, Orders: 1
Key: 212100S, Action: Add, Quantity: 15000, Orders: 1
Key: 212400S, Action: Add, Quantity: 1286, Orders: 1
Key: 212700S, Action: Add, Quantity: 470, Orders: 1
Key: 213400S, Action: Add, Quantity: 7432, Orders: 1
Key: 214400S, Action: Add, Quantity: 750, Orders: 1
Key: 214500S, Action: Add, Quantity: 217, Orders: 1
Key: 215000S, Action: Add, Quantity: 200, Orders: 1
Key: 215200S, Action: Add, Quantity: 260, Orders: 1
Key: 216000S, Action: Add, Quantity: 5000, Orders: 1
Key: 216100S, Action: Add, Quantity: 4000, Orders: 1
Key: 216900S, Action: Add, Quantity: 1014, Orders: 1
Key: 217400S, Action: Add, Quantity: 1460, Orders: 1
Key: 217700S, Action: Add, Quantity: 1022, Orders: 1
Key: 218400S, Action: Add, Quantity: 1460, Orders: 1
Key: 219900S, Action: Add, Quantity: 51, Orders: 1
Key: 220000S, Action: Add, Quantity: 300, Orders: 1
Key: 220000S, Action: Update, Quantity: 800, Orders: 2
Key: 220000S, Action: Update, Quantity: 1900, Orders: 3
Key: 220000S, Action: Update, Quantity: 3000, Orders: 4
Key: 220000S, Action: Update, Quantity: 4200, Orders: 5
Key: 220000S, Action: Update, Quantity: 5200, Orders: 6
Key: 220000S, Action: Update, Quantity: 23700, Orders: 7
Key: 220000S, Action: Update, Quantity: 24700, Orders: 8
Key: 220000S, Action: Update, Quantity: 25200, Orders: 9
Key: 220000S, Action: Update, Quantity: 25250, Orders: 10
Key: 220000S, Action: Update, Quantity: 26750, Orders: 11
Key: 220000S, Action: Update, Quantity: 27050, Orders: 12
Key: 221000S, Action: Add, Quantity: 1000, Orders: 1
Key: 222000S, Action: Add, Quantity: 372, Orders: 1
Key: 222500S, Action: Add, Quantity: 255, Orders: 1
Key: 223000S, Action: Add, Quantity: 67, Orders: 1
Key: 223000S, Action: Update, Quantity: 193, Orders: 2
Key: 223000S, Action: Update, Quantity: 693, Orders: 3
Key: 223000S, Action: Update, Quantity: 1193, Orders: 4
Key: 223000S, Action: Update, Quantity: 1893, Orders: 5
Key: 224500S, Action: Add, Quantity: 79, Orders: 1
Key: 224900S, Action: Add, Quantity: 1000, Orders: 1
Key: 225000S, Action: Add, Quantity: 2261, Orders: 1
Key: 225000S, Action: Update, Quantity: 3261, Orders: 2
Key: 225000S, Action: Update, Quantity: 5261, Orders: 3
Key: 225000S, Action: Update, Quantity: 6761, Orders: 4
Key: 228400S, Action: Add, Quantity: 231, Orders: 1
Key: 229000S, Action: Add, Quantity: 2750, Orders: 1
Key: 229500S, Action: Add, Quantity: 200, Orders: 1
Key: 230000S, Action: Add, Quantity: 2653, Orders: 1
Key: 230000S, Action: Update, Quantity: 3143, Orders: 2
Key: 230000S, Action: Update, Quantity: 5143, Orders: 3
Key: 230000S, Action: Update, Quantity: 5249, Orders: 4
Key: 230000S, Action: Update, Quantity: 5509, Orders: 5
Key: 230000S, Action: Update, Quantity: 7509, Orders: 6
Key: 230000S, Action: Update, Quantity: 8509, Orders: 7
Key: 232500S, Action: Add, Quantity: 1500, Orders: 1
Key: 233100S, Action: Add, Quantity: 50, Orders: 1
Key: 233200S, Action: Add, Quantity: 2000, Orders: 1
Key: 234100S, Action: Add, Quantity: 1500, Orders: 1
Key: 235000S, Action: Add, Quantity: 254, Orders: 1
Key: 237000S, Action: Add, Quantity: 200, Orders: 1
Key: 239300S, Action: Add, Quantity: 3750, Orders: 1
Key: 240000S, Action: Add, Quantity: 612, Orders: 1
Key: 240000S, Action: Update, Quantity: 2128, Orders: 2
Key: 240000S, Action: Update, Quantity: 2608, Orders: 3
Key: 240000S, Action: Update, Quantity: 2816, Orders: 4
Key: 240000S, Action: Update, Quantity: 3816, Orders: 5
Key: 250000S, Action: Add, Quantity: 61, Orders: 1
Key: 250000S, Action: Update, Quantity: 217, Orders: 2
Key: 250000S, Action: Update, Quantity: 7663, Orders: 3
Key: 250000S, Action: Update, Quantity: 8663, Orders: 4
Key: 268400S, Action: Add, Quantity: 982, Orders: 1
Key: 250000S, Action: Update, Quantity: 8763, Orders: 5
Key: 260000S, Action: Add, Quantity: 2750, Orders: 1
Key: 222100S, Action: Add, Quantity: 302, Orders: 1
Key: 205200S, Action: Add, Quantity: 250, Orders: 1
Key: 191000B, Action: Update, Quantity: 160, Orders: 1
Key: 193900B, Action: Update, Quantity: 600, Orders: 1
Key: 238000S, Action: Add, Quantity: 583, Orders: 1
Key: 197000S, Action: Add, Quantity: 860, Orders: 1
Key: 192500B, Action: Update, Quantity: 1000, Orders: 1
Key: 195000B, Action: Add, Quantity: 466, Orders: 1
Key: 196000S, Action: Add, Quantity: 1, Orders: 1
Key: 195500B, Action: Add, Quantity: 1000, Orders: 1
Key: 198000S, Action: Update, Quantity: 2095, Orders: 4
Key: 210000S, Action: Update, Quantity: 4379, Orders: 4
Key: 194000B, Action: Add, Quantity: 250, Orders: 1
Key: 192000B, Action: Update, Quantity: 5760, Orders: 5
Key: 199900S, Action: Update, Quantity: 1777, Orders: 2
Key: 220000S, Action: Update, Quantity: 27277, Orders: 13
Key: 189000B, Action: Update, Quantity: 1250, Orders: 2
Key: 190000B, Action: Update, Quantity: 11494, Orders: 14
Key: 210000S, Action: Update, Quantity: 4459, Orders: 5
Key: 199900S, Action: Update, Quantity: 2277, Orders: 3
Key: 192500B, Action: Update, Quantity: 1057, Orders: 2
Key: 190000B, Action: Update, Quantity: 11944, Orders: 15
Key: 196500S, Action: Delete, Quantity: None, Orders: None
Key: 191200B, Action: Delete, Quantity: None, Orders: None
Key: 190800B, Action: Add, Quantity: 1500, Orders: 1
Key: 188000B, Action: Update, Quantity: 3725, Orders: 5
Key: 193500B, Action: Add, Quantity: 400, Orders: 1
Key: 191000B, Action: Update, Quantity: 610, Orders: 2
Key: 195500B, Action: Update, Quantity: 1255, Orders: 2
Key: 199700S, Action: Update, Quantity: 3178, Orders: 2
Key: 190000B, Action: Update, Quantity: 12444, Orders: 16
Key: 199800B, Action: Add, Quantity: 11459, Orders: 1
Key: 194000S, Action: Add, Quantity: 666, Orders: 1
Key: 250000S, Action: Update, Quantity: 1317, Orders: 4
Key: 182000B, Action: Update, Quantity: 10120, Orders: 2
Key: 180000B, Action: Update, Quantity: 8375, Orders: 8
Key: 207000S, Action: Update, Quantity: 6977, Orders: 2
Key: 242500S, Action: Add, Quantity: 523, Orders: 1
Key: 193500B, Action: Update, Quantity: 1400, Orders: 2
Key: 211500S, Action: Delete, Quantity: None, Orders: None
Key: 218000S, Action: Add, Quantity: 500, Orders: 1
Key: 193500B, Action: Update, Quantity: 400, Orders: 1
Key: 193800B, Action: Update, Quantity: 1250, Orders: 2
Key: 197000S, Action: Delete, Quantity: None, Orders: None
Key: 200000B, Action: Add, Quantity: 750, Orders: 1
Key: 194000S, Action: Update, Quantity: 671, Orders: 2
Key: 208900B, Action: Add, Quantity: 436, Orders: 1
Key: 194000S, Action: Update, Quantity: 666, Orders: 1
Key: 194000S, Action: Update, Quantity: 696, Orders: 2
Key: 183500B, Action: Delete, Quantity: None, Orders: None
Key: 228000S, Action: Add, Quantity: 500, Orders: 1
Key: 228000S, Action: Update, Quantity: 1000, Orders: 2
Key: 295000S, Action: Add, Quantity: 1000, Orders: 1
Key: 197000S, Action: Add, Quantity: 965, Orders: 1
Key: 190000B, Action: Update, Quantity: 14444, Orders: 17
Key: 210000S, Action: Update, Quantity: 4709, Orders: 6
Key: 195500B, Action: Update, Quantity: 1351, Orders: 3
Key: 210000S, Action: Update, Quantity: 4459, Orders: 5
Key: 213000S, Action: Add, Quantity: 250, Orders: 1
Key: 195800B, Action: Add, Quantity: 1000, Orders: 1
Key: 201000B, Action: Add, Quantity: 1897, Orders: 1
Key: 194000S, Action: Update, Quantity: 666, Orders: 1
Key: 194000S, Action: Update, Quantity: 804, Orders: 2
Key: 201000B, Action: Update, Quantity: 2181, Orders: 2
Key: 194000S, Action: Update, Quantity: 666, Orders: 1
Key: 194000S, Action: Update, Quantity: 815, Orders: 2
Key: 201000B, Action: Update, Quantity: 284, Orders: 1
Key: 201000B, Action: Delete, Quantity: None, Orders: None
Key: 194000S, Action: Update, Quantity: 666, Orders: 1
Key: 194000S, Action: Update, Quantity: 735, Orders: 2
Key: 199600S, Action: Add, Quantity: 1000, Orders: 1
Key: 192400B, Action: Add, Quantity: 200, Orders: 1
Key: 192200B, Action: Add, Quantity: 900, Orders: 1
Key: 199700S, Action: Update, Quantity: 4678, Orders: 3
Key: 202900B, Action: Add, Quantity: 2231, Orders: 1
Key: 194000S, Action: Update, Quantity: 666, Orders: 1
Key: 194000S, Action: Update, Quantity: 822, Orders: 2
Key: 197900B, Action: Add, Quantity: 691, Orders: 1
Key: 193900S, Action: Add, Quantity: 1, Orders: 1
Key: 204900B, Action: Add, Quantity: 3046, Orders: 1
Key: 194000S, Action: Update, Quantity: 666, Orders: 1
Key: 194000S, Action: Update, Quantity: 994, Orders: 2
Key: 194300B, Action: Add, Quantity: 1000, Orders: 1
Key: 198200S, Action: Add, Quantity: 1586, Orders: 1
Key: 198100S, Action: Add, Quantity: 1247, Orders: 1
Key: 198100S, Action: Delete, Quantity: None, Orders: None
Key: 198100S, Action: Add, Quantity: 2315, Orders: 1
Key: 194000S, Action: Update, Quantity: 1003, Orders: 3
Key: 186400S, Action: Add, Quantity: 99, Orders: 1
Key: 193500B, Action: Delete, Quantity: None, Orders: None
Key: 198200S, Action: Delete, Quantity: None, Orders: None
Key: 198100S, Action: Update, Quantity: 4614, Orders: 2
Key: 198100S, Action: Update, Quantity: 2315, Orders: 1
Key: 198100S, Action: Update, Quantity: 5683, Orders: 2
Key: 192400B, Action: Update, Quantity: 300, Orders: 2
Key: 198100S, Action: Update, Quantity: 3368, Orders: 1
Key: 198100S, Action: Update, Quantity: 6395, Orders: 2
Key: 193400B, Action: Update, Quantity: 615, Orders: 2
Key: 201900B, Action: Add, Quantity: 4480, Orders: 1
Key: 204900B, Action: Delete, Quantity: None, Orders: None
Key: 204900B, Action: Add, Quantity: 3964, Orders: 1
Key: 201000B, Action: Add, Quantity: 100, Orders: 1
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 1254, Orders: 3
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 1299, Orders: 3
Key: 199800B, Action: Delete, Quantity: None, Orders: None
Key: 201900B, Action: Update, Quantity: 15939, Orders: 2
Key: 198100S, Action: Update, Quantity: 3368, Orders: 1
Key: 198100S, Action: Update, Quantity: 8532, Orders: 2
Key: 204900B, Action: Delete, Quantity: None, Orders: None
Key: 205300B, Action: Add, Quantity: 3964, Orders: 1
Key: 201000B, Action: Delete, Quantity: None, Orders: None
Key: 201400B, Action: Add, Quantity: 100, Orders: 1
Key: 201400B, Action: Delete, Quantity: None, Orders: None
Key: 201000B, Action: Add, Quantity: 100, Orders: 1
Key: 210000B, Action: Add, Quantity: 1, Orders: 1
Key: 192000B, Action: Update, Quantity: 3760, Orders: 4
Key: 195000B, Action: Update, Quantity: 2466, Orders: 2
Key: 202900B, Action: Delete, Quantity: None, Orders: None
Key: 202900B, Action: Add, Quantity: 3739, Orders: 1
Key: 205300B, Action: Delete, Quantity: None, Orders: None
Key: 205300B, Action: Add, Quantity: 4293, Orders: 1
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 1384, Orders: 3
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 1398, Orders: 3
Key: 196000B, Action: Add, Quantity: 2700, Orders: 1
Key: 201900B, Action: Update, Quantity: 16653, Orders: 3
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 1439, Orders: 3
Key: 199700S, Action: Update, Quantity: 3178, Orders: 2
Key: 199200S, Action: Add, Quantity: 1500, Orders: 1
Key: 201000B, Action: Update, Quantity: 3488, Orders: 2
Key: 205300B, Action: Delete, Quantity: None, Orders: None
Key: 205300B, Action: Add, Quantity: 5133, Orders: 1
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 1633, Orders: 3
Key: 201000B, Action: Update, Quantity: 3388, Orders: 1
Key: 201200B, Action: Add, Quantity: 100, Orders: 1
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 1672, Orders: 3
Key: 201200B, Action: Delete, Quantity: None, Orders: None
Key: 201400B, Action: Add, Quantity: 100, Orders: 1
Key: 198100S, Action: Update, Quantity: 5164, Orders: 1
Key: 198500S, Action: Update, Quantity: 6081, Orders: 2
Key: 201400B, Action: Delete, Quantity: None, Orders: None
Key: 201200B, Action: Add, Quantity: 100, Orders: 1
Key: 198500S, Action: Update, Quantity: 2000, Orders: 1
Key: 198500S, Action: Update, Quantity: 4656, Orders: 2
Key: 201200B, Action: Delete, Quantity: None, Orders: None
Key: 201400B, Action: Add, Quantity: 100, Orders: 1
Key: 199000S, Action: Update, Quantity: 11450, Orders: 3
Key: 201400B, Action: Delete, Quantity: None, Orders: None
Key: 201200B, Action: Add, Quantity: 100, Orders: 1
Key: 199200S, Action: Delete, Quantity: None, Orders: None
Key: 199500S, Action: Update, Quantity: 2500, Orders: 2
Key: 205300B, Action: Delete, Quantity: None, Orders: None
Key: 205400B, Action: Add, Quantity: 5133, Orders: 1
Key: 201200B, Action: Delete, Quantity: None, Orders: None
Key: 201500B, Action: Add, Quantity: 100, Orders: 1
Key: 198500S, Action: Update, Quantity: 2000, Orders: 1
Key: 198500S, Action: Update, Quantity: 3943, Orders: 2
Key: 198500S, Action: Update, Quantity: 2000, Orders: 1
Key: 198600S, Action: Add, Quantity: 2300, Orders: 1
Key: 194500S, Action: Add, Quantity: 43, Orders: 1
Key: 157000B, Action: Add, Quantity: 1000, Orders: 1
Key: 202400B, Action: Add, Quantity: 1057, Orders: 1
Key: 201900B, Action: Update, Quantity: 12173, Orders: 2
Key: 202400B, Action: Update, Quantity: 5537, Orders: 2
Key: 201900B, Action: Update, Quantity: 11459, Orders: 1
Key: 202400B, Action: Update, Quantity: 6251, Orders: 3
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 1731, Orders: 3
Key: 201900B, Action: Delete, Quantity: None, Orders: None
Key: 202400B, Action: Update, Quantity: 17710, Orders: 4
Key: 202000S, Action: Update, Quantity: 4474, Orders: 7
Key: 200200B, Action: Add, Quantity: 34, Orders: 1
Key: 198800S, Action: Add, Quantity: 1, Orders: 1
Key: 198600S, Action: Delete, Quantity: None, Orders: None
Key: 198600S, Action: Add, Quantity: 1587, Orders: 1
Key: 204500B, Action: Add, Quantity: 10255, Orders: 1
Key: 205400B, Action: Delete, Quantity: None, Orders: None
Key: 206000B, Action: Add, Quantity: 6522, Orders: 1
Key: 194000S, Action: Update, Quantity: 675, Orders: 2
Key: 194000S, Action: Update, Quantity: 2261, Orders: 3
Key: 201500B, Action: Delete, Quantity: None, Orders: None
Key: 202000B, Action: Add, Quantity: 100, Orders: 1
Key: 200200B, Action: Delete, Quantity: None, Orders: None
Key: 200700B, Action: Add, Quantity: 34, Orders: 1
Key: 198600S, Action: Delete, Quantity: None, Orders: None
Key: 199000S, Action: Update, Quantity: 13393, Orders: 4
Key: 203000B, Action: Add, Quantity: 2920, Orders: 1
Key: 202400B, Action: Update, Quantity: 13230, Orders: 3
Key: 203000B, Action: Update, Quantity: 7400, Orders: 2
Key: 202400B, Action: Update, Quantity: 12516, Orders: 2
Key: 203000B, Action: Update, Quantity: 8114, Orders: 3
Key: 202400B, Action: Update, Quantity: 11459, Orders: 1
Key: 203000B, Action: Update, Quantity: 9171, Orders: 4
Key: 202400B, Action: Delete, Quantity: None, Orders: None
Key: 203000B, Action: Update, Quantity: 20630, Orders: 5
Key: 199000S, Action: Update, Quantity: 11450, Orders: 3
Key: 206000B, Action: Delete, Quantity: None, Orders: None
Key: 206500B, Action: Add, Quantity: 6522, Orders: 1
Key: 199000S, Action: Update, Quantity: 14106, Orders: 4
